Article;title;Title;
6495553;Sony   11-18mm f/4.5-5.6 DT Wide Angle Zoom Lens;Sony 11-18mm f/4.5-5.6 DT Wide Angle Zoom Lens;"Product Overview

With a focal length that ranges 11-18mm, this lens helps to take perfect wide angle shots. To produce the perfect photo, its glass components are made from ashperical and extra low dispersion parts. The aspherical components help to reduce spherical deviations, while the extra low dispersion glass keeps your photos clear and with the convergence of color intact. The extra low dispersion glass comes into effect especially when you are zoomed in close.

The quality of the photos remain at a high level throughout all the settings in its 1.6x zoom capacity. This particular lens is for Alpha and Minolta digital cameras. When you need to zoom in and out, the size of the lens will not change. Externally, it is a unnoticeable process. Simply put, this wide angle lens produces images that are as close to what you see in real life as possible.

Highlight
<ul>
<li>Wide angle lens</li>
<li>Uses aspherical and extra low dispersion glass</li>
<li>Focusing is internal</li>
</ul>
s"
6495557;Sony   75-300mm f/4.5-5.6 Alpha A-Mount Telephoto Zoom Lens;Sony 75-300mm f/4.5-5.6 Alpha A-Mount Telephoto Zoom Lens;"Product Overview

The Sony Alpha A-Mount telephoto zoom lens is designed to be compatible with Alpha & Minolta Maxxum Series digital single lens reflex cameras. It provides a wide range of zoom that sees consistent quality in the images produced, where the minimum focus distance is 4.9'. Depending on the focal length you are shooting with, the aperture will vary. The speed of its blades works to ensure that the subject of the picture is highly distinguished from the background by blurring out any distractions behind the object. It takes great pictures regardless, but its best performance is seen with close ups.

Highlights

<ul>
<li>Telephoto zoom lens</li>
<li>Compatible with Alpha & Minolta Maxxum Series digital single lens reflex cameras</li>
<li>Has a wide range of focus</li>
<li>Aperture range increases as the focal range increases</li>
</ul>"
6495561;Sony   16mm f/2.8 Alpha A-Mount Fisheye Lens;Sony 16mm f/2.8 Alpha A-Mount Fisheye Lens;"Product Overview

The Sony 16mm f/2.8 Alpha A-Mount fisheye lens provides 180 degree angle field of view. It can be attached to Alpha & Minolta digital single lens reflex cameras. The perspective of this lens provides an image that the human eye cannot create. It provides a great depth of field to keep everything in the frame in focus. The lens is also designed to minimize reflections. It has a focal length of 16mm. The size of the aperture range varies from large to small (f/2.8 to f/22). This size helps the lens capture lots of light for sharp, bright images. 

Highlights

<ul>
<li>Unique Fisheye Lens</li>
<li>180 degree angle field of view</li>
<li>Compatible with Alpha & Minolta digital single lens reflex cameras</li>
<li>Great depth of field</li>
<li>Focal length of 16mm</li>
<li>Aperture range of f/2.8-22</li>
</ul>"
6495565;Sony   20mm f/2.8 Wide Angle Prime Lens;Sony 20mm f/2.8 Wide Angle Prime Lens;"Product Overview

The Sony wide angle prime lens is designed to be compatible with Alpha & Minolta Maxxum digital single lens reflex cameras. This lens is perfect for wide angle shots as it takes high quality images with great depth of field. It is able to take shots from a 94 degrees angle of view, and has the capability to mitigate deviations that try to ruin a great shot. When you are focusing on your subject, it produces a stunning image that blurs out the background distractions. The quick speeds of the shutters mean that you can take great photos when the lighting conditions are not ideal. Additionally, the auto focus is quick so that you are able to catch great shots at a moments notice.

Highlights

<ul>
<li>Wide angle lens</li>
<li>Compatible with Alpha & Minolta Maxxum digital single lens reflex cameras</li>
<li>Improves images by blurring out the background</li>
</ul>"
6495569;Sony   50mm f/2.8 Macro Prime Lens;Sony 50mm f/2.8 Macro Prime Lens;"Product Overview

The Sony macro prime lens is designed to be compatible with Alpha & Minolta digital single lens reflex cameras. Its performance is flexible so that it can be applied to great shots in any type of photography. The magnification is 1:1, so that subjects appear life size. Also, the minimum focus distance is 7.9"". Additionally, it is designed to correct deviations that can ruin a great shot. The maximum aperture is f/2.8, while the minimum is f/32. This capability makes the most use out of situations where lighting conditions are not ideal, because of its fast shutter speeds. Also, you are able to limit the range of focus so that the subject of your photo can be found quicker.

Highlights

<ul>
<li>Macro prime lens</li>
<li>Compatible with Alpha & Minolta digital single lens reflex cameras</li>
<li>1:1 magnification makes subjects appear life-size</li>
<li>Maximum aperture optimizes low light situations</li>
<li>Limit the range of focus for quicker performance</li>
</ul>"
6495573;Sony   100mm f/2.8 Alpha A-Mount Macro Lens;Sony 100mm f/2.8 Alpha A-Mount Macro Lens;"Produce crystal clear images when you get up close and personal by using the Sony 100mm f/2.8 AF Macro Auto-focus Lens. The Sony 100mm lens is perfect for almost any professional situation, providing beautifully clear images of the tiniest subjects as well as being able to work well for your mid-range needs. Never again worry about lacking the light for your best work, with the f/2.8 maximum aperture of the lens matched with the Sony Alpha's Super SteadyShot image stabilization system you will never miss the shot due to low light again. With the ability to adapt to nearly any shooting situation you put in front of it, the 100mm f/2.8 AF Macro Autofocus Lens from Sony is the perfect edition to your bag of tricks. 



•       100mm A-mount macro lens for Sony Alpha & Minolta Maxxum digital SLR cameras    
•	Super SteadyShot image stabilization system steadys images in low light              
•	Focus range limiter speeds up the autofocus response time
•	Focus hold button allows the user to have complete control
•	Minimum Focal point Distance: 1.2'
•	Focus Hold & Range Limiter Buttons offers better control
•	Auto Clutch Manual Focus Ring prevents from changing focus
•	Aperture Blades produce great effects
•	Filter Diameter: 55mm which allow for rotating polarizing filters to be used"
6495577;Sony   300mm f/2.8 G Telephoto Prime Lens;Sony 300mm f/2.8 G Telephoto Prime Lens;"Product Overview

The Sony telephoto prime lens is designed to be compatible with Sony Alpha and Minolta digital SLR cameras. This lens has a wide range of aperture, and is able to focus quickly automatically. The auto focus system is internal, so you will not even notice the barrel extending. Also, you can easily switch from auto to manual focus. This lens is designed to be used by professional photographers so they can get great looking shots. The quality of the lens also has the capability to get rid of any deviations in the picture, such as lens flare. Additionally, it is designed to prevent dust and water from ruining a great shot. 

Highlights

<ul>
<li>Telephoto prime lens</li>
<li>Compatible with Sony Alpha and Minolta digital SLR cameras</li>
<li>Internal auto focus system</li>
<li>Easily switch from auto to manual focus</li>
<li>Low dispersion glass creates sharper looking images, while minimizaing aberrations</li>
<li>Designed to be protected against water and dust</li>
</ul>"
6495581;Sony   85mm f/1.4 Carl Zeiss Planar T* Prime Lens;Sony 85mm f/1.4 Carl Zeiss Planar T* Prime Lens;"Product Overview

The Sony Carl Zeiss Planar T* prime lens is designed to be compatible with Sony Alpha & Minolta digital single lens reflex cameras. This lens produces high quality images while displaying bright colors. Its performance is quick and works well with camera stabilization systems. It has a wide focal range, but no matter the range it produces sharp looking images. The aperture range makes it possible to optimize the amount of light being captured. The T* coating helps to reduce problems such as lens flare and reflections. Additionally, with the switch of a button, you are able to go from auto to manual focus.

Highlights

<ul>
<li>Prime lens with Carl Zeiss Planar T* coating</li>
<li>Compatible with Sony Alpha & Minolta digital single lens reflex cameras</li>
<li>Wide focal range that produces the same high quality  images</li>
<li>The aperture range optimizes the amount of light being captured</li>
<li>Carl Zeiss T* coating reduces lens flare and reflections</li>
<li>Easily switch between auto and manual focus</li>
</ul>"
6495585;Sony   16-80mm f/3.5-4.5 Carl Zeiss Vario-Sonnar T* DT Standard Zoom Lens;Sony 16-80mm f/3.5-4.5 Carl Zeiss Vario-Sonnar T* DT Standard Zoom Lens;"*Some of this text has to be reused, such as Alpha & Minolta digital single lens reflex. That can't be worded any differently.

Product Overview

The Sony Carl Zeiss Vario-Sonnar T* standard zoom lens is great for working with DT Alpha & Minolta digital single lens reflex cameras. This lens has the ability to be used by professional photographers to create sharp looking photos. The T* Star coating helps to reduce flare, while making images as high contrast as possible. It is flexible enough to be used for many shots thanks to its powerful 5x zoom capability. Depending on the level of zoom you choose, the aperture will change with it. The aperture range also help create great looking shots in low light environments.

Highlights

<ul>
<li>Standard 5x zoom lens</li>
<li>Compatible with DT Alpha & Minolta digital SLR cameras</li>
<li>Great for professional photographers</li>
<li>T* Star coating creates sharp looking photos, while reducing flare</li>
</ul>"
6495617;Sony   16-105mm f/3.5-5.6 DT Standard Zoom Lens;Sony 16-105mm f/3.5-5.6 DT Standard Zoom Lens;"Product Overview

The Sony Standard Zoom Lens is designed to be compatible with DT Alpha & Minolta digital single lens reflex cameras. It is best used with image sensors that are cropped, making it not ideal with larger cameras that are full-frame. Its focal length is 16-105mm, which is equal to 24-157.5mm on a 35mm camera. The lens uses extra low dispersion glass to minimize chromatic aberrations, which makes sure the photos you take are sharp and clear no matter what your zoom settings are. The zoom settings alter internally, meaning you will not even notice the zoom adjusting from the size of the barrel. 

Highlights

<ul>
<li>Standard zoom lens</li>
<li>Compatible with DT Alpha & Minolta digital single lens reflex cameras</li>
<li>Focal range of 16-105mm</li>
<li>Internal zoom settings</li>
</ul>"
